3,Developer Pride,"Leave code better than you found it. I heard Uncle Bob say that. I can’t recall if it was a video, blog post, or interview; but it hit me right between the eyes. When I heard “leave code better than you found it”, I was actively developing around code. I saw code that could be better, but left it. I saw code that I didn’t understand. Instead of understanding it and using my code to extend it, I coded around that also.

What really sucks is that I never used to be that way. I became that way. Tight deadlines, working with code I didn’t write, and inexperience made me that way. Inexperience? No, not inexperience as a developer; inexperience working with others. Working with other developers is intimidating. I wonder if I am good enough, fast enough, or even smart enough. It’s easy to try to work faster than I am capable of. The end result is never pleasant. As developers, we don’t get faster by working faster. We get faster by becoming more efficient. No amount of corner cutting will change that. It took one sentence for me to be reminded of that.

It doesn’t take much to leave code better. Reduce database calls or HTTP requests, add some caching, optimize a block or loop, or DRY something up. You don’t have to refactor the entire application. Just refactor one method. Speaking of methods, this applies to more than server side code. Front end code needs this too. Simplify an HTML element, remove divitis, or reduce CSS duplication. Again, it doesn’t take much. Just think if you did this every time you opened a file. Software would continually get better and would be generally more pleasant to use.
",2011-08-20 01:06:08.778022,2012-08-21 00:33:54.58684,,,f
5,Too Big To Fail,"There is a reason I do not develop iOS applications. Every time Apple decides they need their cut from a developers hard work, I am reminded why. Ironically, every time Apple decides to update their terms to make sure they have the upper hand, is about the time I start thinking I should start developing native mobile apps. I wake up quickly. I agree that Apple is entitled to their cut, but they are destroying what used to be a great platform for developers. A great developer friendly platform is what catapulted the iOS line of devices to begin with. There is no way the iPhone is where it is today without developers creating awesome apps for it. I’m not saying it wouldn’t have been successful; just not this successful.

I see Apple as having a “too big to fail” attitude. That is a razor’s edge. Just ask Microsoft and they will tell you that no company is too big to fail. Back when I switched to Apple products, it was because they offered what I wanted. I wanted to do Rails development, and I liked what I saw in terms of tools. TextMate, for example. Sure, I could do Rails development on a Windows machine, but it sucks. Trust me. I set up a Rails environment on a Windows box. Torture! So I jumped ship.

I fear a similar situation with what Apple is doing now. It won’t be anytime soon, but if they keep screwing around with their iOS developers, they will leave. They will take the path of least resistance, just like I did when I came to Apple. And when Android has that one exclusive app, think Angry Birds when it was iOS only, the ball will start rolling. It all starts with one awesome app that you can’t get anywhere else.

(2-18-11) Update: Google may have smelled blood. They just released <a href=""http://www.google.com/landing/onepass/"">One Pass</a>, a possible competitor to Apple’s subscription plan.",2011-08-20 01:29:46.540151,2012-08-21 00:33:54.594773,,,f
11,"Whoa, Search Any Site With Chrome","This may be something new, but I stumbled onto something today. Apparently you can search some websites in Chrome directly from the address bar.

<img src=""/images/search_chrome.png"" alt="""" />

When you add a space after the <span class=""caps"">URL</span>, you can then search the site for what you need. Completely awesome for finding Gems on GitHub.

<img src=""/images/search_github.png"" alt="""" />",2011-08-20 01:40:58.569748,2012-08-21 00:33:54.613023,,,f
6,A Win For Technology,"I sat with my family and watched Watson, <em>the computer <span class=""caps"">IBM</span> created</em>, compete on Jeopardy and we were in awe of the awesome. This really was historic, not to mention a genius move by <span class=""caps"">IBM</span>. Why was it genius by <span class=""caps"">IBM</span>?
<ol>
	<li>The country saw <span class=""caps"">IBM</span> exercise their motto &#8220;Build a smarter planet&#8221;. Even though through the first round Watson stumbled a bit, it was impressive how this machine could parse and answer human language.</li>
	<li>Non-technical people had the opportunity to see the people that were behind the machine. This is something that normal people often do not see. Most people just expect computers to work, never giving a thought to who built it, or how much time went into it.</li>
</ol>

Those two points can stand on their own, but I think the most impressive thing about Watson is what it leads to after Jeopardy. Possibilities in various fields were mentioned, including the medical field. That is the most impressive part. What technology will be spawned from a game?",2011-08-20 01:37:11.977778,2012-08-21 00:33:54.596478,,,f
7,Mental Rest,"I&#8217;ve been thinking about mental rest a lot. I know I could benefit from letting my brain relax. My brain is running full speed all day. There&#8217;s always a monitor running where I&#8217;m debugging something, reading something, researching something, so on and so on. When the work day is over, I grab my iPad and do the same thing. It&#8217;s hard not to be engaged in something with my schedule. Day job, part-time night job, and finishing up a degree at a University make it difficult to do &#8220;nothing&#8221;.

For the next week, I am going to set a side a block of time each day to relax. No studying, no programming/debugging, no research; just relax. Probably just listen to some music. I expect to feel completely refreshed. I also think that all the information that I have been cramming into my brain will finally have a chance to sink in. If all goes well, I will post my thoughts.",2011-08-20 01:38:03.676662,2012-08-21 00:33:54.60316,,,f
8,Moving The Mobile Web Forward,"I have this love/hate relationship with native mobile apps. They definitely have their place, but are often overused; I&#8217;m a huge  proponent of the mobile web. I think as developers, we should build apps not for a platform, but for a purpose. More often than not, this involves more than one platform. Games are exempt in my opinion. Native code is a perfect fit for games.

37signals just released a <a href=""http://basecamphq.com/mobile"">mobile version of Basecamp</a>. It&#8217;s a great app, and done purely in web technologies. This is a giant leap forward for a few reasons. One: some devs that are on the fence about mobile might look at this app and realize that it&#8217;s okay to go web versus native. Two: the crew at 37signals are creating quite a stir about their Cinco framework, which appears to be a rapid application framework for web apps, and will be open sourced.

I&#8217;m anxiously waiting for the release of Cinco. I have been looking for a mobile web solution and was entertaining the idea of creating my own micro framework. Maybe something based on Sinatra, but I would rather contribute to something that has the talent that 37signals brings behind it.",2011-08-20 01:38:50.996931,2012-08-21 00:33:54.605405,,,f
17,Apple Loses Top I Os Dev,"<a href=""http://mashable.com/2010/12/09/graeme-devine-leaves-apple/"">http://mashable.com/2010/12/09/graeme-devine-leaves-apple/</a>

Testament to the fact that money isn&#8217;t everything. Do what you love.",2011-08-20 01:44:45.114574,2012-08-21 00:33:54.634872,,,f
10,Project Portfolio,"Listening to the <a href=""http://www.pragprog.com/podcasts"">Pragmatic Podcast</a> recently, I picked up on the term <em>Project Portfolio</em> and it got me thinking. What if, instead of trying to show what I have worked on for client work; which is usually behind an <span class=""caps"">NDA</span> or some other form of agreement that prevents me from showing or claiming anything, I would just publish everything that I build locally. All the little todo apps, note taking apps, etc. All of them published on the web.

I never really liked the idea of a portfolio. What a time consuming pain. I mean I see the need for a professional portfolio; accolades, awards, letters of recommendation, etc. But a web portfolio is a time sucker and a blind display of work. I have no idea if the urls are active anymore. I guess I could host a local copy of the site in some circumstances, but then it may not match the actual site. What if the client changes script/images/etc.. Then I really don’t have any control. What a pain. I have never been a fan of them.

My personal projects on the other hand, are a labor of love. These are the apps I use almost daily. I continually improve and tweak them. If I really think about it, this is where my best work is at. This is where I experiment, try new technologies, optimize for speed,  so on and so on. I’m really thinking about starting a projects section and throwing up all my projects on there. Publishing more was a goal this year, sounds like a good way to get started.",2011-08-20 01:40:33.442583,2012-08-21 00:33:54.636541,,,f
19,Code Fearlessly,"<a href=""http://cam.ly/blog/2010/12/code-fearlessly/"">http://cam.ly/blog/2010/12/code-fearlessly/</a>

I think I may have to write this somewhere where will always see it. Too often, I am writing code around several lines of code that have been commented out. Scared that if I remove the code, it will break something.

We should all &#8220;Code Feaslessly&#8221;",2011-08-20 01:45:34.000156,2012-08-21 00:33:54.63997,,,f
14,Developer Goals For 2011,"As the end of the year approaches, like most people, I start to reflect on the year that is set to expire. This year was an interesting one. I have the first full year of teaching under my belt, I starting working for a company as a developer, and I have evolved as a developer more than in any other year.

<h2>Where Am I now?</h2>

As I write this, I happen to be on a bit of a break. Usually, I am working either 7-4 or 8-5 and I teach from 5:40 until 9:30 &#8211; 10ish twice a week. Besides that, I am finishing my degree at <a href=""http://www.bgsu.edu/""><span class=""caps"">BGSU</span></a>. Needless to say, I have a very full plate, but it’s all fun. Okay, the finishing the degree part kind of sucks, but that is more likely due to the content of the courses than the actual work.

I have really grown in all aspects of work. Well, it’s not really work most of the time; I really do enjoy it. Teaching is a great way for me to give back to the community. I love helping prepare web designers with tools and skills that they will actually use. I think I have improved in my teaching style, but ultimately the students would have to answer that. I know I have benefitted from my education at BG to improve the environment that I create for learning.

<h3>Developer Status</h3>

As for being a developer, I have learned a lot from working with other developers. I still find it amazing how much I can learn from just being around other developers. It’s something every developer should do. Not only through work, but through play also. Hanging out with like-minded developers is incredibly inspiring.

I still struggle with developer speed. I hate doing things that are “good enough”. Because of that, I spend a lot of time tweaking and refactoring when I probably should learn to just close the file and move on. This is probably the one area I need to work on. More on that later.

<h3>Frameworks</h3>

Frameworks were a big part of my 2010. Up until this year, I started every project from scratch; that included <span class=""caps"">PHP</span>, JavaScript, and <span class=""caps"">CSS</span>. <span class=""caps"">PHP</span> frameworks came first; mainly <a href=""http://codeigniter.com/"">CodeIgniter</a>, then came the JavaScript frameworks, finally settling on <a href=""http://jquery.com/"">jQuery</a>. Recently, I have been using <a href=""http://www.blueprintcss.org/"">BlueprintCSS</a> for common <span class=""caps"">CSS</span> layouts. I started to feel that it was insane to replicate the same layouts over and over. Blueprint fits my workflow well and hopefully makes me a little faster.

This year also brought on <a href=""http://rubyonrails.org/"">Rails</a>, and it blew me away. I slowly started moving away from <span class=""caps"">PHP</span>. My day job still requires <span class=""caps"">PHP</span>, but for anything I start outside of work; Rails it is. Rails has really helped me grow as a developer. I started looking at my code with a test first mentality. The conventions in Rails almost force me to do things in a certain way. I have become accustomed to the &#8220;Rails Way&#8221;.</p>

<h2>Where Would I Like to be?</h2>

There are a few goals that I have for the coming year. Naturally, I want improve in all aspects of developing and teaching. As I mentioned earlier, speed is my largest defect.  What I have yet to figure out is whether I am taking too long because I am adding quality code, or if the time if takes me is necessary to produce quality code. This will be a large turning point for me this year. I plan on concentrating on speed a lot, I still believe that web development is a creative craft that requires knowledge, experience, creativity, and pride. I try to treat every line of code as if it were my personal project. I definitely would not cut corners on something I am building for myself. I do not want to sacrifice that quality for speed, but fear that I have to make a compromise.

I also have a lot of half finished side projects laying around. I am going to make this the year I just release projects. They could be anything. I am no longer concerned with if what I am building has been done or not. Often, what I am building does exist, but does not fit what I want it to do enough.

Developers are encouraged to learn one new language a year. I do agree with this, it&#8217;s a great way to stay on top of your craft. I am approaching 2011 a little differently. I am really concentrating on <a href=""http://www.ruby-lang.org/en/"">Ruby</a>. I mean really mastering it. All of the ins and outs of the language.

Sadly, my JavaScript skills have slid in the last few years. I&#8217;m not saying I don&#8217;t know JavaScript well, but the JavaScript development of the past few years has <em>really</em> moved the language forward and I feel that I am not as good as I could or should be.

<h3>How Do I Get There?</h3>

In order to be where I would like to be by the end of 2011, there are a few things that I must do. The first thing is to make time for side projects and personal and professional development. It’s a lot easier said than done while working a full-time, part-time job, and still taking some online classes. I have a few ideas; start work a half an hour early, have a working lunch, work on the projects after work, or just simply limiting all of these social networks I am involved with. If I am going to release projects, code, and such; I need to work on those projects and shut Twitter down.

Releasing projects that are not perfect is a pain point for anyone in a creative profession. This is item number two. I’m still scared this is going to burn me, but I am going to do it anyway. Burns heal, right?

I think the best way to advance with a language is to do something meaningful. Hello World and a blog (<em>the new hello world</em>) only go so far. To really use a technology or language, you need to have useful case for it. Maybe it gets released, maybe it doesn’t. One thing for sure, you learn a lot about how to really use the language. I love the Code Kata ideas, so I plan on rolling my own; creating some katas that are more relevant to me as far as something I might actually use. With any luck, I might stumble onto something. Worst case scenario, I accomplish my goal of really digging into Ruby and JavaScript.

Here is to a great 2011!",2011-08-20 01:43:15.199389,2012-08-21 00:33:54.641561,,,f
